"agency_type","call_category","address_city","incident_number","jurisdiction","problem","date_response","address_state","address_zip","day_response","month_response","year_response"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015778","San Diego","Emergency Medical Response","2020-01-29 15:04:53","CA","92117","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015775","San Diego","Emergency Medical Response","2020-01-29 15:03:33","CA","92123","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015776","San Diego","Emergency Medical Response","2020-01-29 15:03:29","CA","92103","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015773","San Diego","HAZARD","2020-01-29 15:02:54","CA","92123","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015774","San Diego","Emergency Medical Response","2020-01-29 15:02:04","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015771","San Diego","Emergency Medical Response","2020-01-29 15:01:42","CA","92115","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015768","San Diego","Emergency Medical Response","2020-01-29 14:57:22","CA","92117","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015769","San Diego","Emergency Medical Response","2020-01-29 14:57:14","CA","92127","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015766","San Diego","Emergency Medical Response","2020-01-29 14:49:05","CA","92103","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015765","San Diego","HAZARD","2020-01-29 14:47:50","CA","92123","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015764","San Diego","Emergency Medical Response","2020-01-29 14:47:41","CA","92129","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015763","San Diego","Emergency Medical Response","2020-01-29 14:45:15","CA","92173","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015762","San Diego","Emergency Medical Response","2020-01-29 14:45:03","CA","92115","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015760","San Diego","Emergency Medical Response","2020-01-29 14:41:07","CA","92110","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015759","San Diego","Emergency Medical Response","2020-01-29 14:36:04","CA","92127","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015758","San Diego","Emergency Medical Response","2020-01-29 14:32:18","CA","92108","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015757","San Diego","Urgent Medical Response","2020-01-29 14:27:40","CA","92102","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015756","San Diego","Non-Emergency Medical Response","2020-01-29 14:21:40","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015755","San Diego","Emergency Medical Response","2020-01-29 14:15:20","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015753","San Diego","Emergency Medical Response","2020-01-29 14:13:12","CA","92102","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015751","San Diego","HAZARD","2020-01-29 14:09:58","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015752","San Diego","Emergency Medical Response","2020-01-29 14:09:22","CA","92105","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015749","San Diego","Non-Emergency Medical Response","2020-01-29 14:05:17","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015748","San Diego","Emergency Medical Response","2020-01-29 14:01:46","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015747","San Diego","Emergency Medical Response","2020-01-29 13:59:44","CA","92108","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015746","San Diego","Emergency Medical Response","2020-01-29 13:56:30","CA","92126","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015745","San Diego","Emergency Medical Response","2020-01-29 13:55:39","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015742","San Diego","Emergency Medical Response","2020-01-29 13:54:25","CA","92114","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015741","San Diego","Urgent Medical Response","2020-01-29 13:51:15","CA","92139","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015743","San Diego","Emergency Medical Response","2020-01-29 13:49:04","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015740","San Diego","Emergency Medical Response","2020-01-29 13:48:48","CA","92102","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015739","San Diego","Non-Emergency Medical Response","2020-01-29 13:40:51","CA","92114","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015738","San Diego","HAZARD","2020-01-29 13:39:04","CA","92113","29","1","2020"
"Fire","RESCUE","SAN DIEGO","FS20015737","San Diego","RESCUE","2020-01-29 13:38:21","CA","92116","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015736","San Diego","Emergency Medical Response","2020-01-29 13:37:39","CA","92129","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015735","San Diego","Urgent Medical Response","2020-01-29 13:36:15","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015734","San Diego","Emergency Medical Response","2020-01-29 13:25:00","CA","92121","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015733","San Diego","Emergency Medical Response","2020-01-29 13:21:12","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015732","San Diego","Emergency Medical Response","2020-01-29 13:20:28","CA","92108","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015731","San Diego","Emergency Medical Response","2020-01-29 13:17:54","CA","92102","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015728","San Diego","Emergency Medical Response","2020-01-29 13:10:26","CA","92173","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015727","San Diego","Emergency Medical Response","2020-01-29 13:07:40","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015726","San Diego","Emergency Medical Response","2020-01-29 13:04:11","CA","92110","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015725","San Diego","Emergency Medical Response","2020-01-29 13:03:03","CA","92122","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015724","San Diego","Emergency Medical Response","2020-01-29 13:02:48","CA","92173","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015722","San Diego","Emergency Medical Response","2020-01-29 12:59:56","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015721","San Diego","Emergency Medical Response","2020-01-29 12:58:25","CA","92154","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015720","San Diego","Urgent Medical Response","2020-01-29 12:56:20","CA","92120","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015718","San Diego","Emergency Medical Response","2020-01-29 12:55:37","CA","92102","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015717","San Diego","Non-Emergency Medical Response","2020-01-29 12:53:41","CA","92123","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015716","San Diego","Emergency Medical Response","2020-01-29 12:51:29","CA","92113","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015715","San Diego","HAZARD","2020-01-29 12:50:49","CA","92173","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015711","San Diego","Emergency Medical Response","2020-01-29 12:39:53","CA","92122","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015708","San Diego","Emergency Medical Response","2020-01-29 12:33:50","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015705","San Diego","Emergency Medical Response","2020-01-29 12:28:41","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015703","San Diego","Emergency Medical Response","2020-01-29 12:23:57","CA","92109","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015702","San Diego","Emergency Medical Response","2020-01-29 12:23:32","CA","92121","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015699","San Diego","Emergency Medical Response","2020-01-29 12:16:10","CA","92111","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015698","San Diego","Emergency Medical Response","2020-01-29 12:15:18","CA","92128","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015697","San Diego","Emergency Medical Response","2020-01-29 12:11:52","CA","92127","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015696","San Diego","Emergency Medical Response","2020-01-29 12:11:38","CA","92109","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015695","San Diego","Emergency Medical Response","2020-01-29 12:09:35","CA","92111","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015694","San Diego","Emergency Medical Response","2020-01-29 11:59:39","CA","92108","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015692","San Diego","Emergency Medical Response","2020-01-29 11:55:52","CA","92120","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015690","San Diego","Emergency Medical Response","2020-01-29 11:50:56","CA","92108","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015691","San Diego","Non-Emergency Medical Response","2020-01-29 11:50:53","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015689","San Diego","Emergency Medical Response","2020-01-29 11:50:36","CA","92037","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015688","San Diego","Emergency Medical Response","2020-01-29 11:47:47","CA","92129","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015686","San Diego","HAZARD","2020-01-29 11:38:36","CA","92037","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015685","San Diego","Emergency Medical Response","2020-01-29 11:36:50","CA","92139","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015684","San Diego","Emergency Medical Response","2020-01-29 11:28:41","CA","92104","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015683","San Diego","Emergency Medical Response","2020-01-29 11:22:59","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015682","San Diego","Emergency Medical Response","2020-01-29 11:21:26","CA","92105","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015681","San Diego","Emergency Medical Response","2020-01-29 11:20:37","CA","92110","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015680","San Diego","Emergency Medical Response","2020-01-29 11:18:10","CA","92101","29","1","2020"
"Fire","SERVICE","SAN DIEGO","FS20015679","San Diego","SERVICE","2020-01-29 11:15:57","CA","92110","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015678","San Diego","Emergency Medical Response","2020-01-29 11:14:27","CA","92105","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015676","San Diego","Emergency Medical Response","2020-01-29 11:11:45","CA","92128","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015675","San Diego","Emergency Medical Response","2020-01-29 11:11:37","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015674","San Diego","Emergency Medical Response","2020-01-29 11:11:07","CA","92124","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015673","San Diego","Emergency Medical Response","2020-01-29 11:09:13","CA","92121","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015671","San Diego","Emergency Medical Response","2020-01-29 11:07:18","CA","92114","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015672","San Diego","HAZARD","2020-01-29 11:07:15","CA","92128","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015670","San Diego","Emergency Medical Response","2020-01-29 11:06:22","CA","92037","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015668","San Diego","Emergency Medical Response","2020-01-29 11:03:49","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015666","San Diego","Emergency Medical Response","2020-01-29 10:59:43","CA","92115","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015665","San Diego","Non-Emergency Medical Response","2020-01-29 10:59:28","CA","92104","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015664","San Diego","Emergency Medical Response","2020-01-29 10:53:54","CA","92130","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015663","San Diego","HAZARD","2020-01-29 10:53:27","CA","92117","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015661","San Diego","Emergency Medical Response","2020-01-29 10:43:19","CA","92114","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015657","San Diego","Emergency Medical Response","2020-01-29 10:40:56","CA","92108","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015656","San Diego","Emergency Medical Response","2020-01-29 10:39:45","CA","92122","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015651","San Diego","Emergency Medical Response","2020-01-29 10:37:30","CA","92123","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015652","San Diego","HAZARD","2020-01-29 10:36:07","CA","92110","29","1","2020"
"Fire","FIRE","SAN DIEGO","FS20015641","San Diego","FIRE","2020-01-29 10:35:35","CA","92104","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015640","San Diego","Non-Emergency Medical Response","2020-01-29 10:35:20","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015639","San Diego","Emergency Medical Response","2020-01-29 10:32:19","CA","92014","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015638","San Diego","Emergency Medical Response","2020-01-29 10:30:12","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015637","San Diego","Emergency Medical Response","2020-01-29 10:27:11","CA","92102","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015635","San Diego","Urgent Medical Response","2020-01-29 10:24:49","CA","92128","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015636","San Diego","Urgent Medical Response","2020-01-29 10:24:08","CA","92101","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015634","San Diego","Non-Emergency Medical Response","2020-01-29 10:19:32","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015633","San Diego","Emergency Medical Response","2020-01-29 10:19:19","CA","92113","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015632","San Diego","Urgent Medical Response","2020-01-29 10:14:39","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015631","San Diego","Emergency Medical Response","2020-01-29 10:13:58","CA","92120","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015630","San Diego","Emergency Medical Response","2020-01-29 10:12:26","CA","92140","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015629","San Diego","Emergency Medical Response","2020-01-29 10:05:29","CA","92113","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015628","San Diego","Non-Emergency Medical Response","2020-01-29 10:03:06","CA","92037","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015627","San Diego","Urgent Medical Response","2020-01-29 10:02:11","CA","92114","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015626","San Diego","Urgent Medical Response","2020-01-29 09:57:57","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015624","San Diego","Emergency Medical Response","2020-01-29 09:56:15","CA","92103","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015625","San Diego","HAZARD","2020-01-29 09:56:13","CA","92105","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015623","San Diego","Emergency Medical Response","2020-01-29 09:55:22","CA","92116","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015622","San Diego","Emergency Medical Response","2020-01-29 09:54:37","CA","92111","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015621","San Diego","Emergency Medical Response","2020-01-29 09:54:13","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015620","San Diego","Emergency Medical Response","2020-01-29 09:50:09","CA","92105","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015619","San Diego","Urgent Medical Response","2020-01-29 09:48:54","CA","92106","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015617","San Diego","Emergency Medical Response","2020-01-29 09:41:07","CA","92104","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015616","San Diego","Emergency Medical Response","2020-01-29 09:36:42","CA","92108","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015614","San Diego","HAZARD","2020-01-29 09:33:13","CA","92108","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015613","San Diego","Emergency Medical Response","2020-01-29 09:32:53","CA","92154","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015612","San Diego","Non-Emergency Medical Response","2020-01-29 09:31:39","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015611","San Diego","Emergency Medical Response","2020-01-29 09:30:03","CA","92117","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015610","San Diego","Emergency Medical Response","2020-01-29 09:28:18","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015608","San Diego","Emergency Medical Response","2020-01-29 09:18:09","CA","92103","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015607","San Diego","Non-Emergency Medical Response","2020-01-29 09:16:51","CA","92105","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015606","San Diego","HAZARD","2020-01-29 09:05:25","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015605","San Diego","Emergency Medical Response","2020-01-29 09:05:08","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015603","San Diego","Emergency Medical Response","2020-01-29 09:02:27","CA","92101","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015601","San Diego","HAZARD","2020-01-29 08:58:45","CA","92102","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015599","San Diego","Emergency Medical Response","2020-01-29 08:54:19","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015598","San Diego","Emergency Medical Response","2020-01-29 08:52:41","CA","92109","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015597","San Diego","Emergency Medical Response","2020-01-29 08:50:47","CA","92114","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015595","San Diego","Emergency Medical Response","2020-01-29 08:49:36","CA","92124","29","1","2020"
"Fire","FIRE","SAN DIEGO","FS20015596","San Diego","FIRE","2020-01-29 08:49:27","CA","92110","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015594","San Diego","Emergency Medical Response","2020-01-29 08:45:15","CA","92173","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015592","San Diego","Emergency Medical Response","2020-01-29 08:45:05","CA","92139","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015593","San Diego","Non-Emergency Medical Response","2020-01-29 08:43:46","CA","92173","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015591","San Diego","Emergency Medical Response","2020-01-29 08:40:41","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015590","San Diego","Emergency Medical Response","2020-01-29 08:39:35","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015589","San Diego","Emergency Medical Response","2020-01-29 08:38:01","CA","92114","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015588","San Diego","Emergency Medical Response","2020-01-29 08:37:12","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015587","San Diego","Emergency Medical Response","2020-01-29 08:36:13","CA","92154","29","1","2020"
"Fire","FIRE","SAN DIEGO","FS20015586","San Diego","FIRE","2020-01-29 08:31:18","CA","92123","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015585","San Diego","Emergency Medical Response","2020-01-29 08:30:03","CA","92154","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015584","San Diego","Urgent Medical Response","2020-01-29 08:28:02","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015583","San Diego","Emergency Medical Response","2020-01-29 08:26:36","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015582","San Diego","Emergency Medical Response","2020-01-29 08:25:21","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015580","San Diego","Emergency Medical Response","2020-01-29 08:23:10","CA","92115","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015579","San Diego","Emergency Medical Response","2020-01-29 08:20:32","CA","92105","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015576","San Diego","Emergency Medical Response","2020-01-29 08:19:41","CA","92113","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015577","San Diego","Urgent Medical Response","2020-01-29 08:16:39","CA","92103","29","1","2020"
"Fire","HAZARD","SAN DIEGO","FS20015575","San Diego","HAZARD","2020-01-29 08:14:57","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015573","San Diego","Emergency Medical Response","2020-01-29 08:11:04","CA","92104","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015572","San Diego","Emergency Medical Response","2020-01-29 08:07:10","CA","92117","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015571","San Diego","Emergency Medical Response","2020-01-29 08:01:06","CA","92114","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015569","San Diego","Emergency Medical Response","2020-01-29 07:59:17","CA","92128","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015568","San Diego","Emergency Medical Response","2020-01-29 07:56:55","CA","92131","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015567","San Diego","Emergency Medical Response","2020-01-29 07:50:50","CA","92129","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015566","San Diego","Emergency Medical Response","2020-01-29 07:50:43","CA","92129","29","1","2020"
"Fire","Urgent Medical Response","SAN DIEGO","FS20015565","San Diego","Urgent Medical Response","2020-01-29 07:42:34","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015563","San Diego","Emergency Medical Response","2020-01-29 07:40:59","CA","92123","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015562","San Diego","Non-Emergency Medical Response","2020-01-29 07:40:02","CA","92117","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015561","San Diego","Emergency Medical Response","2020-01-29 07:39:23","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015560","San Diego","Emergency Medical Response","2020-01-29 07:38:34","CA","92113","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015558","San Diego","Emergency Medical Response","2020-01-29 07:38:05","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015557","San Diego","Emergency Medical Response","2020-01-29 07:37:58","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015559","San Diego","Emergency Medical Response","2020-01-29 07:37:38","CA","92037","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015556","San Diego","Emergency Medical Response","2020-01-29 07:26:15","CA","92109","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015555","San Diego","Emergency Medical Response","2020-01-29 07:19:47","CA","92101","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015553","San Diego","Emergency Medical Response","2020-01-29 07:11:38","CA","92103","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015552","San Diego","Emergency Medical Response","2020-01-29 07:11:15","CA","92115","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015551","San Diego","Emergency Medical Response","2020-01-29 07:09:39","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015550","San Diego","Emergency Medical Response","2020-01-29 07:07:59","CA","92154","29","1","2020"
"Fire","Emergency Medical Response","SAN DIEGO","FS20015548","San Diego","Emergency Medical Response","2020-01-29 07:06:18","CA","92127","29","1","2020"
"Fire","Non-Emergency Medical Response","SAN DIEGO","FS20015545","San Diego","Non-Emergency Medical Response","2020-01-29 06:56:27","CA","92101","29","1","2020"
